Month,Company,Complaint_count,Untimely_count,Untimely_rate,Previous_6_month_average,Previous_6_month_std,Complaint_growth_percentage,Complaint_z_score,Previous_6_month_complaints,Previous_6_month_untimely,Previous_6_month_untimely_rate,Untimely_rate_change,Monthly_complaint_share
2025-06-01,ALLY FINANCIAL INC.,410,0,0.0,,,,,,,0.0,0.0,0.0520232607418517
2025-07-01,ALLY FINANCIAL INC.,512,0,0.0,,,,,,,0.0,0.0,0.06496563292640993
2025-08-01,ALLY FINANCIAL INC.,482,0,0.0,,,,,,,0.0,0.0,0.06115905287212809
2025-09-01,ALLY FINANCIAL INC.,460,0,0.0,468.0,52.421369688324624,-1.7094017094017095,-0.15260951874330314,1404.0,0.0,0.0,0.0,0.05836756083232141
2025-10-01,ALLY FINANCIAL INC.,437,0,0.0,466.0,42.988370520409354,-6.223175965665236,-0.6746010525388914,1864.0,0.0,0.0,0.0,0.05544918279070535
2025-11-01,ALLY FINANCIAL INC.,453,0,0.0,460.2,39.42334333868704,-1.5645371577574945,-0.18263291213392502,2301.0,0.0,0.0,0.0,0.05747935881965566
2025-12-01,ALLY FINANCIAL INC.,572,0,0.0,459.0,35.38361202590826,24.618736383442265,3.1935688170348517,2754.0,0.0,0.0,0.0,0.0725787930349736
2026-01-01,ALLY FINANCIAL INC.,578,0,0.0,486.0,49.50555524383096,18.930041152263374,1.8583772982015871,2916.0,0.0,0.0,0.0,0.07334010904582995
2026-02-01,ALLY FINANCIAL INC.,521,0,0.0,497.0,62.15464584405577,4.82897384305835,0.38613364574894876,2982.0,0.0,0.0,0.0,0.06610760694269448
2026-03-01,ALLY FINANCIAL INC.,595,0,0.0,503.5,62.31131518432266,18.17279046673287,1.4684331365713355,3021.0,0.0,0.0,0.0,0.07549717107658965
2026-04-01,ALLY FINANCIAL INC.,532,0,0.0,526.0,67.61065004864248,1.1406844106463878,0.08874341535961125,3156.0,0.0,0.0,0.0,0.06750335296259782
2026-05-01,ALLY FINANCIAL INC.,505,0,0.0,541.8333333333334,51.897655695288066,-6.797908335896653,-0.7097301957066545,3251.0,0.0,0.0,0.0,0.06407743091374417
2026-06-01,ALLY FINANCIAL INC.,542,0,0.0,550.5,36.00416642556804,-1.544050862851953,-0.23608378817968692,3303.0,0.0,0.0,0.0,0.06877221298069176
2025-06-01,AMERICAN EXPRESS COMPANY,873,0,0.0,,,,,,,0.0,0.0,0.11077147957960129
2025-07-01,AMERICAN EXPRESS COMPANY,912,0,0.0,,,,,,,0.0,0.0,0.11572003365016767
2025-08-01,AMERICAN EXPRESS COMPANY,815,2,0.245398773006135,,,,,,,0.0,0.245398773006135,0.10341209147465642
2025-09-01,AMERICAN EXPRESS COMPANY,856,0,0.0,866.6666666666666,48.809152147249314,-1.2307692307692264,-0.21853824943500394,2600.0,2.0,0.07692307692307693,-0.07692307692307693,0.10861441754884159
2025-10-01,AMERICAN EXPRESS COMPANY,871,3,0.3444316877152698,864.0,40.207793606049385,0.8101851851851851,0.17409560118083248,3456.0,2.0,0.057870370370370364,0.2865613173448994,0.1105177075759825
2025-11-01,AMERICAN EXPRESS COMPANY,886,8,0.9029345372460496,865.4,34.96140729432955,2.380402126184426,0.5892211325069049,4327.0,5.0,0.11555350127108852,0.787381035974961,0.11242099760312343
2025-12-01,AMERICAN EXPRESS COMPANY,1058,74,6.994328922495274,868.8333333333334,32.38157912558722,21.77249184730481,5.841798694653258,5213.0,13.0,0.24937655860349126,6.744952363891783,0.13424538991433926
2026-01-01,AMERICAN EXPRESS COMPANY,1102,49,4.4464609800362975,899.6666666666666,84.03015331811953,22.489811041126348,2.4078658117800193,5398.0,87.0,1.6117080400148203,2.8347529400214775,0.1398283739939526
2026-02-01,AMERICAN EXPRESS COMPANY,944,0,0.0,931.3333333333334,118.38524682859216,1.3600572655690724,0.10699531407833668,5588.0,136.0,2.4337866857551895,-2.4337866857551895,0.1197803857080683
