Month,Complaint_count
2011-12-01,2536
2012-01-01,3230
2012-02-01,3509
2012-03-01,6229
2012-04-01,5703
2012-05-01,7614
2012-06-01,7841
2012-07-01,6755
2012-08-01,6877
2012-09-01,5492
2012-10-01,6741
2012-11-01,6139
2012-12-01,6238
2013-01-01,9741
2013-02-01,8349
2013-03-01,8785
2013-04-01,8632
2013-05-01,8170
2013-06-01,8035
2013-07-01,9272
2013-08-01,9564
2013-09-01,9636
2013-10-01,9240
2013-11-01,9318
2013-12-01,9474
2014-01-01,12616
2014-02-01,13046
2014-03-01,13940
2014-04-01,13834
2014-05-01,12158
2014-06-01,12508
2014-07-01,13402
2014-08-01,13169
2014-09-01,12454
2014-10-01,12882
2014-11-01,11243
2014-12-01,11658
2015-01-01,12608
2015-02-01,12657
2015-03-01,14489
2015-04-01,13729
2015-05-01,13671
2015-06-01,14502
2015-07-01,15895
2015-08-01,15756
2015-09-01,14320
2015-10-01,14879
2015-11-01,12890
2015-12-01,12877
2016-01-01,13827
2016-02-01,14132
2016-03-01,16599
2016-04-01,15595
2016-05-01,15510
2016-06-01,16054
2016-07-01,16032
2016-08-01,17680
2016-09-01,17561
2016-10-01,17788
2016-11-01,15194
2016-12-01,15325
2017-01-01,20990
2017-02-01,18078
2017-03-01,19741
2017-04-01,18533
2017-05-01,19278
2017-06-01,18546
2017-07-01,20418
2017-08-01,21381
2017-09-01,27336
2017-10-01,20444
2017-11-01,18980
2017-12-01,19024
2018-01-01,23633
2018-02-01,21959
2018-03-01,23620
2018-04-01,24315
2018-05-01,22321
2018-06-01,20093
2018-07-01,20945
2018-08-01,21710
2018-09-01,19064
2018-10-01,21883
2018-11-01,19046
2018-12-01,18544
2019-01-01,18927
2019-02-01,20194
2019-03-01,23400
2019-04-01,22905
2019-05-01,23842
2019-06-01,23335
2019-07-01,25070
2019-08-01,26043
2019-09-01,23565
2019-10-01,25624
2019-11-01,22641
2019-12-01,21696
2020-01-01,26394
2020-02-01,25079
2020-03-01,29480
2020-04-01,34794
2020-05-01,36987
2020-06-01,37888
2020-07-01,40639
2020-08-01,39187
2020-09-01,39875
2020-10-01,43975
2020-11-01,41541
2020-12-01,48375
2021-01-01,42475
2021-02-01,33262
2021-03-01,41172
2021-04-01,39666
2021-05-01,41312
2021-06-01,45732
2021-07-01,45075
2021-08-01,42584
2021-09-01,40371
2021-10-01,39295
2021-11-01,39069
2021-12-01,45927
2022-01-01,53231
2022-02-01,53185
2022-03-01,61898
2022-04-01,72244
2022-05-01,60377
2022-06-01,61872
2022-07-01,64440
2022-08-01,69259
2022-09-01,65782
2022-10-01,75794
2022-11-01,77040
2022-12-01,85146
2023-01-01,93933
2023-02-01,86540
2023-03-01,104542
2023-04-01,97086
2023-05-01,106211
2023-06-01,104427
2023-07-01,106774
2023-08-01,119715
2023-09-01,112888
2023-10-01,117424
2023-11-01,113366
2023-12-01,123067
2024-01-01,143369
2024-02-01,157616
2024-03-01,177815
2024-04-01,191121
2024-05-01,211970
2024-06-01,204177
2024-07-01,232655
2024-08-01,263815
2024-09-01,264822
2024-10-01,295880
2024-11-01,287086
2024-12-01,303982
2025-01-01,475787
2025-02-01,335241
2025-03-01,396977
2025-04-01,406112
2025-05-01,415215
2025-06-01,412186
2025-07-01,473230
2025-08-01,495598
2025-09-01,503863
2025-10-01,519813
2025-11-01,496709
2025-12-01,512699
2026-01-01,542108
2026-02-01,526643
2026-03-01,616527
2026-04-01,623186
2026-05-01,659822
2026-06-01,788109
2026-07-01,831165
