Topic number,Topic,Keywords
0,Topic 0,"reporting agency, person, agency, furnish, privacy, furnish relating, agency person, shall furnish, person shall, person knows, relating reporting, knows reasonable"
1,Topic 1,"report, reporting, credit report, fcra, inaccurate, accounts, act, fair, dispute, credit reporting, disputed, reported"
2,Topic 2,"account, payment, bank, card, called, payments, loan, time, did, late, money, paid"
3,Topic 3,"violated rights, furnish account, account written, agency furnish, right privacy, rights right, written instructions, instructions, violated, furnish, accordance fair, privacy"
4,Topic 4,"cash app, app, cash, unfair, resolution, financial, unprotected, prevent address, account vulnerable, vulnerable unprotected, fraud platform, address fraud"
5,Topic 5,"debt, supplied proof, proof, debt exist, proof alleged, pressume proof, pressume, debt debt, supplied, proof estoppel, estoppel, estoppel silence"
6,Topic 6,"creditors deny, deny credit, accordingly avoid, causing creditors, consumers investigate, accounts accordingly, inaccurate inaccuracies, credit duty, future litigation, accurate consumers, avoid future, inquires update"
7,Topic 7,"banking, efficiency banking, efficiency, written consent, consent, credit reporting, public confidence, reporting methods, dependent fair, banking dependent, confidence essential, undermine public"
8,Topic 8,"letters, party involved, falsely reporting, review uploaded, uploaded letters, filing falsely, reporting misleading, involved review, uploaded, misleading party, really, falsely"
9,Topic 9,"theft, identity, identity theft, inquiries, report, fraudulent, credit report, accounts, victim, block, victim identity, result"
