Month,Company,Complaint_count,Untimely_count,Untimely_rate,Previous_6_month_average,Previous_6_month_std,Complaint_growth_percentage,Complaint_z_score,Previous_6_month_complaints,Previous_6_month_untimely,Previous_6_month_untimely_rate,Untimely_rate_change,Monthly_complaint_share
2026-06-01,Pending Company Match,33706,2,0.01,1755.5,2468.614895037296,1820.02,12.94,10533.0,12.0,0.11,-0.11,4.28
2026-06-01,Resurgent Capital Services L.P.,4077,0,0.0,2309.0,154.40854898612287,76.57,11.45,13854.0,0.0,0.0,0.0,0.52
2026-06-01,"Affirm Holdings, Inc",1094,0,0.0,749.0,49.80762993759065,46.06,6.93,4494.0,1.0,0.02,-0.02,0.14
2026-06-01,CAPITAL ONE FINANCIAL CORPORATION,3997,0,0.0,2975.33,248.17547555442974,34.34,4.12,17852.0,0.0,0.0,0.0,0.51
2026-06-01,Experian Information Solutions Inc.,226785,0,0.0,155599.5,20550.68616615997,45.75,3.46,933597.0,37.0,0.0,-0.0,28.78
2026-06-01,"EQUIFAX, INC.",195317,0,0.0,160756.33,11788.949430151391,21.5,2.93,964538.0,0.0,0.0,0.0,24.78
2026-06-01,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",250013,0,0.0,183458.5,28774.820616295798,36.28,2.31,1100751.0,0.0,0.0,0.0,31.72
2026-06-01,Chime Financial Inc,1179,0,0.0,1019.67,96.79807160613616,15.63,1.65,6118.0,1.0,0.02,-0.02,0.15
2026-06-01,"Shellpoint Partners, LLC",418,0,0.0,352.83,40.98495658978629,18.47,1.59,2117.0,40.0,1.89,-1.89,0.05
2026-06-01,U.S. BANCORP,670,0,0.0,617.17,34.17260111063623,8.56,1.55,3703.0,0.0,0.0,0.0,0.09
2026-06-01,PNC Bank N.A.,362,0,0.0,323.33,31.60801586095948,11.96,1.22,1940.0,0.0,0.0,0.0,0.05
2026-06-01,TRUIST FINANCIAL CORPORATION,553,0,0.0,514.17,35.01666270030128,7.55,1.11,3085.0,2.0,0.06,-0.06,0.07
2026-06-01,"Paypal Holdings, Inc",1138,0,0.0,1038.0,105.7676699185529,9.63,0.95,6228.0,1.0,0.02,-0.02,0.14
2026-06-01,Self Financial Inc.,545,0,0.0,521.83,28.095669891758813,4.44,0.82,3131.0,31.0,0.99,-0.99,0.07
2026-06-01,"Kriya Capital, LLC",839,0,0.0,747.0,119.17214439624722,12.32,0.77,4482.0,0.0,0.0,0.0,0.11
2026-06-01,ENCORE CAPITAL GROUP INC.,2321,0,0.0,2181.0,212.98356744124558,6.42,0.66,13086.0,0.0,0.0,0.0,0.29
2026-06-01,"Spring Oaks Capital, LLC",560,0,0.0,513.33,72.11842113265284,9.09,0.65,3080.0,0.0,0.0,0.0,0.07
2026-06-01,"CBC Companies, Inc.",4564,0,0.0,2820.67,2704.8770520426,61.81,0.64,16924.0,0.0,0.0,0.0,0.58
2026-06-01,"CAINE & WEINER COMPANY, INC.",645,0,0.0,602.83,94.72996709946987,6.99,0.45,3617.0,10.0,0.28,-0.28,0.08
2026-06-01,"Portfolio Recovery Associates, LLC",2033,0,0.0,1963.5,167.7328232636651,3.54,0.41,11781.0,32.0,0.27,-0.27,0.26
2026-06-01,MOHELA,857,2,0.23,823.33,101.99934640313464,4.09,0.33,4940.0,3523.0,71.32,-71.08,0.11
2026-06-01,"Block, Inc.",1388,12,0.86,1340.83,150.28827854049894,3.52,0.31,8045.0,76.0,0.94,-0.08,0.18
2026-06-01,"I.C. System, Inc.",780,0,0.0,737.17,150.17778353227442,5.81,0.29,4423.0,0.0,0.0,0.0,0.1
2026-06-01,"SANTANDER HOLDINGS USA, INC.",652,0,0.0,635.67,61.102100345787214,2.57,0.27,3814.0,0.0,0.0,0.0,0.08
2026-06-01,"CITIBANK, N.A.",2126,0,0.0,2098.0,114.89125293076151,1.33,0.24,12588.0,0.0,0.0,0.0,0.27
2026-06-01,JPMORGAN CHASE & CO.,2395,0,0.0,2373.17,137.4938786516209,0.92,0.16,14239.0,0.0,0.0,0.0,0.3
2026-06-01,CL Holdings LLC,2692,0,0.0,2600.83,621.2295603612777,3.51,0.15,15605.0,1.0,0.01,-0.01,0.34
