Month,Complaint count
2011-12,27
2012-01,35
2012-02,33
2012-03,78
2012-04,59
2012-05,100
2012-06,74
2012-07,81
2012-08,76
2012-09,69
2012-10,62
2012-11,68
2012-12,84
2013-01,101
2013-02,89
2013-03,89
2013-04,101
2013-05,85
2013-06,93
2013-07,103
2013-08,124
2013-09,107
2013-10,111
2013-11,116
2013-12,109
2014-01,128
2014-02,163
2014-03,161
2014-04,162
2014-05,151
2014-06,171
2014-07,135
2014-08,150
2014-09,132
2014-10,127
2014-11,125
2014-12,135
2015-01,133
2015-02,149
2015-03,187
2015-04,157
2015-05,143
2015-06,171
2015-07,205
2015-08,190
2015-09,149
2015-10,169
2015-11,160
2015-12,134
2016-01,153
2016-02,168
2016-03,212
2016-04,168
2016-05,222
2016-06,174
2016-07,187
2016-08,193
2016-09,199
2016-10,191
2016-11,206
2016-12,194
2017-01,263
2017-02,210
2017-03,216
2017-04,213
2017-05,233
2017-06,204
2017-07,234
2017-08,245
2017-09,348
2017-10,217
2017-11,223
2017-12,226
2018-01,265
2018-02,255
2018-03,283
2018-04,318
2018-05,278
2018-06,236
2018-07,251
2018-08,248
2018-09,228
2018-10,232
2018-11,222
2018-12,212
2019-01,200
2019-02,247
2019-03,274
2019-04,269
2019-05,270
2019-06,240
2019-07,258
2019-08,300
2019-09,278
2019-10,279
2019-11,259
2019-12,278
2020-01,276
2020-02,275
2020-03,339
2020-04,416
2020-05,433
2020-06,445
2020-07,448
2020-08,491
2020-09,469
2020-10,534
2020-11,476
2020-12,553
2021-01,468
2021-02,362
2021-03,502
2021-04,467
2021-05,483
2021-06,484
2021-07,546
2021-08,469
2021-09,496
2021-10,426
2021-11,465
2021-12,520
2022-01,652
2022-02,623
2022-03,701
2022-04,852
2022-05,729
2022-06,732
2022-07,753
2022-08,824
2022-09,719
2022-10,844
2022-11,898
2022-12,957
2023-01,1073
2023-02,1013
2023-03,1299
2023-04,1167
2023-05,1190
2023-06,1213
2023-07,1190
2023-08,1356
2023-09,1315
2023-10,1377
2023-11,1302
2023-12,1343
2024-01,1677
2024-02,1837
2024-03,2150
2024-04,2215
2024-05,2512
2024-06,2392
2024-07,2741
2024-08,3109
2024-09,3054
2024-10,3475
2024-11,3299
2024-12,3540
2025-01,5526
2025-02,3894
2025-03,4591
2025-04,4745
2025-05,4804
2025-06,4711
2025-07,5393
2025-08,5758
2025-09,5848
2025-10,5967
2025-11,5718
2025-12,5998
2026-01,6181
2026-02,4799
2026-03,5081
2026-04,3683
2026-05,2423
2026-06,2118
