Month,Product,Complaint count,Previous 6-month average,Percentage growth,Trend status
2012-03-01,Checking or savings account,16,,,Insufficient history
2012-04-01,Checking or savings account,10,,,Insufficient history
2012-05-01,Checking or savings account,25,,,Insufficient history
2012-06-01,Checking or savings account,9,17.0,-47.05882352941176,Decreasing
2012-07-01,Checking or savings account,18,15.0,20.0,Stable
2012-08-01,Checking or savings account,14,15.6,-10.256410256410255,Stable
2012-09-01,Checking or savings account,18,15.333333333333334,17.391304347826082,Stable
2012-10-01,Checking or savings account,13,15.666666666666666,-17.021276595744677,Stable
2012-11-01,Checking or savings account,8,16.166666666666668,-50.51546391752577,Decreasing
2012-12-01,Checking or savings account,14,13.333333333333334,4.999999999999996,Stable
2013-01-01,Checking or savings account,14,14.166666666666666,-1.17647058823529,Stable
2013-02-01,Checking or savings account,15,13.5,11.11111111111111,Stable
2013-03-01,Checking or savings account,12,13.666666666666666,-12.195121951219507,Stable
2013-04-01,Checking or savings account,15,12.666666666666666,18.421052631578952,Stable
2013-05-01,Checking or savings account,11,13.0,-15.384615384615385,Stable
2013-06-01,Checking or savings account,11,13.5,-18.51851851851852,Stable
2013-07-01,Checking or savings account,11,13.0,-15.384615384615385,Stable
2013-08-01,Checking or savings account,9,12.5,-28.000000000000004,Decreasing
2013-09-01,Checking or savings account,13,11.5,13.043478260869565,Stable
2013-10-01,Checking or savings account,18,11.666666666666666,54.28571428571429,High growth
2013-11-01,Checking or savings account,15,12.166666666666666,23.28767123287672,Stable
2013-12-01,Checking or savings account,5,12.833333333333334,-61.038961038961034,Decreasing
2014-01-01,Checking or savings account,19,11.833333333333334,60.56338028169014,High growth
2014-02-01,Checking or savings account,10,13.166666666666666,-24.050632911392402,Stable
2014-03-01,Checking or savings account,16,13.333333333333334,19.999999999999996,Stable
2014-04-01,Checking or savings account,14,13.833333333333334,1.2048192771084294,Stable
2014-05-01,Checking or savings account,7,13.166666666666666,-46.835443037974684,Decreasing
2014-06-01,Checking or savings account,16,11.833333333333334,35.21126760563379,Moderate growth
2014-07-01,Checking or savings account,13,13.666666666666666,-4.878048780487801,Stable
2014-08-01,Checking or savings account,11,12.666666666666666,-13.157894736842103,Stable
2014-09-01,Checking or savings account,12,12.833333333333334,-6.493506493506499,Stable
2014-10-01,Checking or savings account,13,12.166666666666666,6.849315068493156,Stable
2014-11-01,Checking or savings account,13,12.0,8.333333333333332,Stable
2014-12-01,Checking or savings account,15,13.0,15.384615384615385,Stable
2015-01-01,Checking or savings account,21,12.833333333333334,63.636363636363626,High growth
2015-02-01,Checking or savings account,10,14.166666666666666,-29.411764705882348,Decreasing
2015-03-01,Checking or savings account,23,14.0,64.28571428571429,High growth
2015-04-01,Checking or savings account,14,15.833333333333334,-11.578947368421055,Stable
2015-05-01,Checking or savings account,16,16.0,0.0,Stable
2015-06-01,Checking or savings account,22,16.5,33.33333333333333,Moderate growth
2015-07-01,Checking or savings account,22,17.666666666666668,24.528301886792445,Stable
2015-08-01,Checking or savings account,23,17.833333333333332,28.971962616822438,Moderate growth
2015-09-01,Checking or savings account,18,20.0,-10.0,Stable
2015-10-01,Checking or savings account,15,19.166666666666668,-21.739130434782613,Stable
2015-11-01,Checking or savings account,21,19.333333333333332,8.62068965517242,Stable
2015-12-01,Checking or savings account,13,20.166666666666668,-35.537190082644635,Decreasing
2016-01-01,Checking or savings account,23,18.666666666666668,23.214285714285708,Stable
2016-02-01,Checking or savings account,10,18.833333333333332,-46.90265486725663,Decreasing
2016-03-01,Checking or savings account,16,16.666666666666668,-4.000000000000007,Stable
2016-04-01,Checking or savings account,14,16.333333333333332,-14.28571428571428,Stable
2016-05-01,Checking or savings account,22,16.166666666666668,36.08247422680411,Moderate growth
2016-06-01,Checking or savings account,27,16.333333333333332,65.30612244897961,High growth
2016-07-01,Checking or savings account,20,18.666666666666668,7.142857142857135,Stable
2016-08-01,Checking or savings account,11,18.166666666666668,-39.44954128440367,Decreasing
2016-09-01,Checking or savings account,23,18.333333333333332,25.454545454545464,Moderate growth
2016-10-01,Checking or savings account,21,19.5,7.6923076923076925,Stable
2016-11-01,Checking or savings account,27,20.666666666666668,30.645161290322577,Moderate growth
2016-12-01,Checking or savings account,30,21.5,39.53488372093023,Moderate growth
2017-01-01,Checking or savings account,24,22.0,9.090909090909092,Stable
2017-02-01,Checking or savings account,16,22.666666666666668,-29.411764705882355,Decreasing
2017-03-01,Checking or savings account,23,23.5,-2.127659574468085,Stable
2017-04-01,Checking or savings account,22,23.5,-6.382978723404255,Stable
2017-05-01,Checking or savings account,22,23.666666666666668,-7.042253521126765,Stable
2017-06-01,Checking or savings account,26,22.833333333333332,13.868613138686136,Stable
2017-07-01,Checking or savings account,18,22.166666666666668,-18.796992481203013,Stable
2017-08-01,Checking or savings account,14,21.166666666666668,-33.85826771653544,Decreasing
2017-09-01,Checking or savings account,24,20.833333333333332,15.200000000000005,Stable
2017-10-01,Checking or savings account,25,21.0,19.047619047619047,Stable
2017-11-01,Checking or savings account,23,21.5,6.976744186046512,Stable
2017-12-01,Checking or savings account,11,21.666666666666668,-49.23076923076923,Decreasing
2018-01-01,Checking or savings account,23,19.166666666666668,19.999999999999993,Stable
2018-02-01,Checking or savings account,23,20.0,15.0,Stable
2018-03-01,Checking or savings account,17,21.5,-20.930232558139537,Stable
2018-04-01,Checking or savings account,24,20.333333333333332,18.03278688524591,Stable
2018-05-01,Checking or savings account,24,20.166666666666668,19.00826446280991,Stable
2018-06-01,Checking or savings account,23,20.333333333333332,13.114754098360661,Stable
2018-07-01,Checking or savings account,15,22.333333333333332,-32.83582089552238,Decreasing
2018-08-01,Checking or savings account,23,21.0,9.523809523809524,Stable
2018-09-01,Checking or savings account,16,21.0,-23.809523809523807,Stable
2018-10-01,Checking or savings account,18,20.833333333333332,-13.599999999999996,Stable
2018-11-01,Checking or savings account,20,19.833333333333332,0.8403361344537875,Stable
2018-12-01,Checking or savings account,22,19.166666666666668,14.782608695652167,Stable
2019-01-01,Checking or savings account,20,19.0,5.263157894736842,Stable
2019-02-01,Checking or savings account,24,19.833333333333332,21.008403361344545,Stable
2019-03-01,Checking or savings account,18,20.0,-10.0,Stable
2019-04-01,Checking or savings account,22,20.333333333333332,8.196721311475416,Stable
2019-05-01,Checking or savings account,19,21.0,-9.523809523809524,Stable
2019-06-01,Checking or savings account,19,20.833333333333332,-8.799999999999995,Stable
2019-07-01,Checking or savings account,21,20.333333333333332,3.27868852459017,Stable
2019-08-01,Checking or savings account,19,20.5,-7.317073170731707,Stable
2019-09-01,Checking or savings account,15,19.666666666666668,-23.728813559322038,Stable
2019-10-01,Checking or savings account,15,19.166666666666668,-21.739130434782613,Stable
2019-11-01,Checking or savings account,16,18.0,-11.11111111111111,Stable
2019-12-01,Checking or savings account,23,17.5,31.428571428571427,Moderate growth
2020-01-01,Checking or savings account,15,18.166666666666668,-17.431192660550465,Stable
2020-02-01,Checking or savings account,26,17.166666666666668,51.45631067961164,High growth
2020-03-01,Checking or savings account,16,18.333333333333332,-12.72727272727272,Stable
2020-04-01,Checking or savings account,20,18.5,8.108108108108109,Stable
2020-05-01,Checking or savings account,21,19.333333333333332,8.62068965517242,Stable
2020-06-01,Checking or savings account,31,20.166666666666668,53.7190082644628,High growth
2020-07-01,Checking or savings account,35,21.5,62.7906976744186,High growth
2020-08-01,Checking or savings account,27,24.833333333333332,8.724832214765106,Stable
2020-09-01,Checking or savings account,23,25.0,-8.0,Stable
2020-10-01,Checking or savings account,21,26.166666666666668,-19.74522292993631,Stable
2020-11-01,Checking or savings account,36,26.333333333333332,36.708860759493675,Moderate growth
2020-12-01,Checking or savings account,26,28.833333333333332,-9.826589595375719,Stable
2021-01-01,Checking or savings account,25,28.0,-10.714285714285714,Stable
2021-02-01,Checking or savings account,21,26.333333333333332,-20.253164556962023,Stable
2021-03-01,Checking or savings account,33,25.333333333333332,30.263157894736846,Moderate growth
2021-04-01,Checking or savings account,24,27.0,-11.11111111111111,Stable
2021-05-01,Checking or savings account,36,27.5,30.909090909090907,Moderate growth
