Class,precision,recall,f1-score,support
Attempts to collect debt not owed,0.4534412955465587,0.5114155251141552,0.48068669527896996,438.0
Communication tactics,0.4583333333333333,0.7333333333333333,0.5641025641025641,75.0
Dealing with your lender or servicer,0.608,0.8735632183908046,0.7169811320754716,87.0
False statements or representation,0.19387755102040816,0.34545454545454546,0.24836601307189543,110.0
Fraud or scam,0.4891304347826087,0.6716417910447762,0.5660377358490566,67.0
Improper use of your report,0.7191780821917808,0.6962864721485411,0.7075471698113207,1508.0
Incorrect information on your report,0.7895282529808191,0.5488288288288288,0.6475340136054422,2775.0
Managing an account,0.7421875,0.8050847457627118,0.7723577235772358,236.0
"Other features, terms, or problems",0.3761467889908257,0.6307692307692307,0.47126436781609193,65.0
Other transaction problem,0.9279279279279279,0.7463768115942029,0.8273092369477911,138.0
Problem with a company's investigation into an existing problem,0.5538818076477404,0.5915841584158416,0.5721125074805505,808.0
Problem with a credit reporting company's investigation into an existing problem,0.40154867256637167,0.6505376344086021,0.49658002735978113,558.0
Problem with a purchase shown on your statement,0.6309523809523809,0.828125,0.7162162162162162,128.0
Struggling to pay mortgage,0.5897435897435898,0.7540983606557377,0.6618705035971223,61.0
Took or threatened to take negative or legal action,0.2523364485981308,0.3698630136986301,0.3,73.0
Trouble during payment process,0.6375,0.8095238095238095,0.7132867132867133,126.0
Written notification about debt,0.33676975945017185,0.4666666666666667,0.3912175648702595,210.0
accuracy,0.6116843092590111,0.6116843092590111,0.6116843092590111,0.6116843092590111
macro avg,0.5388519897489794,0.6490090085770834,0.579615893232146,7463.0
weighted avg,0.6566932850512369,0.6116843092590111,0.6213016302391676,7463.0
