Actual issue,Attempts to collect debt not owed,Communication tactics,Dealing with your lender or servicer,False statements or representation,Fraud or scam,Improper use of your report,Incorrect information on your report,Managing an account,"Other features, terms, or problems",Other transaction problem,Problem with a company's investigation into an existing problem,Problem with a credit reporting company's investigation into an existing problem,Problem with a purchase shown on your statement,Struggling to pay mortgage,Took or threatened to take negative or legal action,Trouble during payment process,Written notification about debt
Attempts to collect debt not owed,224,22,2,41,1,12,40,8,5,0,6,14,7,1,19,4,32
Communication tactics,4,55,0,3,0,0,0,0,2,0,0,0,1,0,2,3,5
Dealing with your lender or servicer,0,2,76,1,1,0,0,1,2,0,1,1,0,0,0,1,1
False statements or representation,17,5,4,38,1,3,2,2,1,0,2,6,0,1,10,6,12
Fraud or scam,0,2,0,0,45,1,2,7,2,5,0,1,2,0,0,0,0
Improper use of your report,21,6,6,13,0,1050,184,1,5,0,111,87,1,0,8,1,14
Incorrect information on your report,138,5,26,46,3,291,1523,10,19,0,240,325,12,12,17,18,90
Managing an account,0,2,0,0,19,0,1,190,5,3,0,1,13,0,0,2,0
"Other features, terms, or problems",4,0,0,0,1,1,1,6,41,0,0,0,10,0,0,0,1
Other transaction problem,1,0,0,0,12,0,0,16,1,103,0,0,3,0,1,0,1
Problem with a company's investigation into an existing problem,16,2,6,12,3,51,104,5,7,0,478,99,4,0,7,4,10
Problem with a credit reporting company's investigation into an existing problem,19,2,2,8,1,40,62,1,8,0,21,363,4,5,2,3,17
Problem with a purchase shown on your statement,3,0,0,0,4,1,0,3,8,0,0,0,106,0,2,1,0
Struggling to pay mortgage,1,0,0,0,0,0,0,0,0,0,0,1,0,46,1,12,0
Took or threatened to take negative or legal action,8,5,0,9,0,4,2,1,1,0,1,1,2,1,27,2,9
Trouble during payment process,1,3,0,0,0,0,0,4,0,0,1,0,0,12,2,102,1
Written notification about debt,37,9,3,25,1,6,8,1,2,0,2,5,3,0,9,1,98
