Class,precision,recall,f1-score,support
Checking or savings account,0.7461832061068703,0.85,0.7947154471544715,460.0
Credit card or prepaid card,0.6570605187319885,0.8014059753954306,0.7220902612826603,569.0
Credit reporting or other personal consumer reports,0.9639622277895549,0.8709733588716698,0.9151115989754848,5743.0
Debt collection,0.6577851790174855,0.7860696517412935,0.7162284678150499,1005.0
"Money transfer, virtual currency, or money service",0.7929824561403509,0.7609427609427609,0.7766323024054983,297.0
Mortgage,0.8176943699731903,0.9242424242424242,0.8677098150782361,330.0
"Payday loan, title loan, personal loan, or advance loan",0.3898305084745763,0.5348837209302325,0.45098039215686275,86.0
Student loan,0.6559139784946236,0.8299319727891157,0.7327327327327328,147.0
Vehicle loan or lease,0.46408839779005523,0.7368421052631579,0.5694915254237288,114.0
accuracy,0.8481316420980459,0.8481316420980459,0.8481316420980459,0.8481316420980459
macro avg,0.6828334269465217,0.7883657744640095,0.7272991714471916,8751.0
weighted avg,0.8687494773804222,0.8481316420980459,0.8547772916874623,8751.0
